type,status,rows,capacity_mw,capacity_gw,missing_capacity,exact_or_approx_location_share,source_file
wind,construction,1023,214521.7,214.522,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
oil/gas,operating,818,209803.39,209.803,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
coal,construction,335,206361.0,206.361,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
nuclear,cancelled - inferred 4 y,185,201410.0,201.41,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
wind,announced,676,174878.4,174.878,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
coal,announced,221,165528.0,165.528,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
coal,retired,1227,142782.0,142.782,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
coal,pre-construction,250,128744.0,128.744,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
coal,shelved,183,96812.0,96.812,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
oil/gas,pre-construction,163,77829.0,77.829,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
oil/gas,announced,174,63327.0,63.327,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
hydropower,pre-construction,50,60930.0,60.93,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
nuclear,operating,58,60898.0,60.898,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
nuclear,announced,53,59662.0,59.662,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
wind,cancelled,167,42789.6,42.79,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
oil/gas,cancelled - inferred 4 y,134,40227.0,40.227,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
oil/gas,construction,101,38907.6,38.908,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
nuclear,construction,33,38516.0,38.516,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
bioenergy,operating,1603,36052.5,36.053,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
wind,shelved - inferred 2 y,276,27855.9,27.856,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
nuclear,pre-construction,23,26736.0,26.736,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
utility-scale solar,shelved - inferred 2 y,228,26214.7,26.215,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
oil/gas,shelved - inferred 2 y,30,9828.0,9.828,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
wind,shelved,52,9446.6,9.447,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
utility-scale solar,cancelled,82,8925.6,8.926,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
utility-scale solar,shelved,80,8442.0,8.442,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
hydropower,shelved - inferred 2 y,2,6600.0,6.6,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
coal,mothballed,26,5820.0,5.82,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
nuclear,retired,6,5144.0,5.144,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
hydropower,shelved,9,3822.0,3.822,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
utility-scale solar,cancelled - inferred 4 y,47,3393.8,3.394,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
bioenergy,construction,86,2988.0,2.988,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
oil/gas,retired,10,2733.0,2.733,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
nuclear,cancelled,2,2700.0,2.7,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
wind,cancelled - inferred 4 y,49,2401.1,2.401,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
bioenergy,pre-construction,57,1984.5,1.984,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
bioenergy,announced,47,1298.0,1.298,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
bioenergy,cancelled - inferred 4 y,41,1294.5,1.294,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
oil/gas,shelved,2,1200.0,1.2,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
hydropower,cancelled,1,1200.0,1.2,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
wind,retired,27,1154.9,1.155,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
oil/gas,cancelled,5,1090.0,1.09,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
oil/gas,mothballed,4,750.0,0.75,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
bioenergy,cancelled,3,565.0,0.565,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
wind,mothballed,4,410.0,0.41,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
hydropower,cancelled - inferred 4 y,2,260.0,0.26,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
bioenergy,shelved - inferred 2 y,6,210.0,0.21,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
utility-scale solar,mothballed,2,100.0,0.1,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
utility-scale solar,retired,2,90.0,0.09,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
bioenergy,retired,4,51.0,0.051,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
geothermal,pre-construction,3,48.5,0.049,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
bioenergy,mothballed,3,45.0,0.045,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
geothermal,announced,2,30.0,0.03,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
geothermal,mothballed,1,24.0,0.024,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
hydropower,mothballed,1,24.0,0.024,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
geothermal,operating,3,21.2,0.021,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
geothermal,construction,1,4.0,0.004,0,1.0,[public-source-root]/gis/GEM_China_Energy_Projects/02_china_filtered_tables/integrated-power-tracker/Global-Integrated-Power-March-2026-II__Power facilities__china.csv
